"latitude","longitude","trophic_state"
48.213122,-65.852432,"Oligotrophic"
47.452333,-66.239988,"Mesotrophic"
46.736363,-66.519057,"Oligotrophic"
48.690742,-66.767274,"Mesotrophic"
47.138484,-66.867145,"Mesotrophic"
47.010988,-66.970229,"Mesotrophic"
46.460712,-66.972431,"Mesotrophic"
48.391954,-67.34011,"Oligotrophic"
50.202718,-66.174349,"Oligotrophic"
48.408511,-67.577,"Mesotrophic"
47.695087,-67.644799,"Mesotrophic"
48.674467,-67.734944,"Oligotrophic"
48.608711,-67.797322,"Eutrophic"
48.653185,-67.809428,"Eutrophic"
48.600798,-67.821122,"Eutrophic"
48.359371,-68.153954,"Mesotrophic"
48.557429,-68.16172,"Mesotrophic"
48.289761,-68.406804,"Mesotrophic"
48.290929,-68.452249,"Mesotrophic"
47.67184,-68.568464,"Oligotrophic"
48.101149,-68.691699,"Mesotrophic"
47.370377,-68.700947,"Oligotrophic"
47.429633,-68.785243,"Oligotrophic"
47.686757,-68.848319,"Oligotrophic"
48.269232,-68.860309,"Mesotrophic"
48.281042,-68.874287,"Eutrophic"
48.110804,-68.883295,"Eutrophic"
48.075148,-69.106521,"Mesotrophic"
47.645885,-68.944567,"Mesotrophic"
47.946902,-69.225446,"Mesotrophic"
47.764893,-69.329789,"Mesotrophic"
47.627411,-69.533598,"Mesotrophic"
47.186479,-69.561309,"Oligotrophic"
45.935951,-70.270307,"Mesotrophic"
45.891603,-70.360266,"Oligotrophic"
46.389586,-70.493319,"Mesotrophic"
46.818612,-70.508205,"Eutrophic"
46.137727,-70.809582,"Mesotrophic"
46.117487,-70.857676,"Mesotrophic"
45.687963,-70.921142,"Mesotrophic"
46.061894,-71.10254,"Eutrophic"
46.084538,-71.500559,"Mesotrophic"
45.537697,-72.037776,"Eutrophic"
45.800588,-71.889269,"Mesotrophic"
45.780093,-72.00684,"Mesotrophic"
45.220903,-72.00096,"Mesotrophic"
45.030153,-72.076808,"Eutrophic"
45.441569,-72.224891,"Mesotrophic"
45.738752,-72.144113,"Eutrophic"
45.456527,-72.206288,"Mesotrophic"
45.026848,-72.246826,"Mesotrophic"
45.247947,-72.514469,"Mesotrophic"
45.334019,-72.519167,"Eutrophic"
45.467017,-72.653542,"Eutrophic"
45.265997,-72.671014,"Mesotrophic"
50.876922,-119.313477,"Oligotrophic"
50.603381,-119.200222,"Oligotrophic"
50.411597,-119.250063,"Eutrophic"
50.5935,-119.639506,"Mesotrophic"
50.537209,-119.500897,"Oligotrophic"
50.318415,-119.256066,"Mesotrophic"
50.172799,-119.327369,"Oligotrophic"
50.04874,-119.239608,"Mesotrophic"
50.081734,-119.389801,"Mesotrophic"
49.85686,-119.612246,"Mesotrophic"
50.621071,-120.049744,"Eutrophic"
50.472222,-120.152106,"Mesotrophic"
50.544062,-120.140745,"Mesotrophic"
50.149715,-120.237859,"Eutrophic"
49.89656,-120.564275,"Oligotrophic"
49.915249,-120.276864,"Mesotrophic"
49.894727,-120.30996,"Mesotrophic"
50.166411,-120.528153,"Eutrophic"
49.715267,-119.923178,"Oligotrophic"
49.410038,-119.585408,"Oligotrophic"
49.302628,-119.57101,"Oligotrophic"
49.288771,-119.531568,"Mesotrophic"
49.289105,-119.582061,"Oligotrophic"
49.82899,-119.83933,"Oligotrophic"
50.643861,-122.401882,"Oligotrophic"
50.872838,-122.879031,"Oligotrophic"
50.202061,-120.055602,"Eutrophic"
51.097401,-120.34108,"Oligotrophic"
51.651898,-120.055866,"Oligotrophic"
50.403098,-121.085132,"Oligotrophic"
50.485507,-120.50673,"Oligotrophic"
50.512281,-120.47799,"Oligotrophic"
50.903978,-120.610563,"Oligotrophic"
50.859036,-121.053029,"Eutrophic"
49.698817,-120.605845,"Oligotrophic"
49.789563,-120.525908,"Oligotrophic"
49.995289,-120.136936,"Mesotrophic"
49.992999,-119.394635,"Mesotrophic"
